cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
53627505,57.07,17.1,0.6,4,0,1,1,[0. 0. 0. ... 0. 0. 0.]
54671203,444.4,182.0,-0.7,32,6,9,2,[1. 1. 1. ... 1. 1. 1.]
54675779,460.4,202.0,-1.6,33,7,10,2,[1. 1. 1. ... 1. 1. 1.]
54676537,353.3,109.0,2.5,26,1,6,4,[1. 1. 0. ... 1. 1. 1.]
54684141,270.21,73.1,3.3,19,2,6,2,[1. 0. 1. ... 0. 0. 1.]
54686183,1025.9,385.0,0.0,70,16,20,4,[1. 1. 1. ... 1. 1. 1.]
54686904,585.6,206.0,1.1,42,7,11,7,[1. 1. 1. ... 0. 0. 1.]
54687131,602.6,243.0,-4.4,43,9,13,10,[1. 1. 1. ... 0. 1. 1.]
56603655,541.6,171.0,0.5,36,4,10,24,[0. 1. 0. ... 0. 1. 1.]
56841124,916.1,188.0,0.0,64,5,14,22,[1. 0. 1. ... 1. 0. 1.]
56842239,909.4,112.0,0.0,66,3,6,40,[0. 0. 0. ... 0. 0. 0.]
57396865,360.4,52.6,3.5,26,1,6,12,[1. 0. 0. ... 0. 0. 1.]
70683012,3752.1,1650.0,-15.2,264,55,60,126,[1. 1. 1. ... 1. 1. 1.]
70683024,730.7,365.0,-8.6,50,12,20,19,[1. 0. 0. ... 0. 1. 1.]
70695640,331.9,0.0,0.0,23,0,1,6,[0. 0. 0. ... 0. 0. 1.]
70788982,1313.4,482.0,0.0,95,15,21,24,[1. 1. 0. ... 1. 1. 1.]
71306410,699.9,272.0,0.0,44,4,17,14,[0. 1. 1. ... 0. 1. 1.]
71306834,746.5,113.0,0.0,31,0,6,7,[0. 0. 0. ... 0. 0. 1.]
71306891,3039.4,1400.0,-13.1,214,51,46,109,[1. 1. 0. ... 1. 1. 1.]
